FBtr	OG_ID	transcript_ID	gene_ID
FBtr0074335	OG0010472	CG4805-RA	ppk28
FBtr0074336	OG0010473	CG4829-RB	CG4829
FBtr0074339	OG0010475	CG4872-RA	CG4872
FBtr0074341	OG0010477	CG4875-RB	Polr3I
FBtr0074342	OG0010479	CG4880-RA	CG4880
FBtr0074343	OG0010480	CG13002-RA	CG13002
FBtr0074344	OG0010481	CG4928-RA	CG4928
FBtr0074347	OG0010478	CG9099-RA	DENR
FBtr0074348	OG0010476	CG9104-RA	Nprl2
FBtr0074350	OG0010474	CG9108-RA	RSG7
FBtr0074352	OG0010470	CG9125-RA	Rai1
FBtr0074354	OG0010468	CG9132-RB	CG9132
FBtr0074355	OG0010466	CG9606-RA	Rrp45
FBtr0074356	OG0010464	CG9609-RA	CG9609
FBtr0074357	OG0010462	CG9623-RB	if
FBtr0074359	OG0010457	CG9634-RA	goe
FBtr0074361	OG0010452	CG9672-RA	CG9672
FBtr0074362	OG0010450	CG9673-RA	CG9673
FBtr0074364	OG0010449	CG9676-RA	CG9676
FBtr0074365	OG0010448	CG9699-RA	Septin4
FBtr0074372	OG0010447	CG9703-RA	Axs
FBtr0074373	OG0010445	CG13010-RA	CG13010
FBtr0074375	OG0010443	CG15865-RA	CG15865
FBtr0074376	OG0010441	CG9723-RA	Nemp
FBtr0074377	OG0010437	CG9742-RA	SNRPG
FBtr0074381	OG0010491	CG4949-RA	CG4949
FBtr0074382	OG0010492	CG4955-RA	CG4955
FBtr0074383	OG0010493	CG16700-RA	sat2
FBtr0074386	OG0010495	CG5004-RA	CG5004
FBtr0074387	OG0010496	CG5010-RA	Chchd2
FBtr0074389	OG0010500	CG5070-RA	CG5070
FBtr0074390	OG0010501	CG32564-RA	CG32564
FBtr0074391	OG0010502	CG32563-RA	CG32563
FBtr0074392	OG0010504	CG18258-RA	CG18258
FBtr0074393	OG0010505	CG5162-RA	CG5162
FBtr0074394	OG0010506	CG12998-RA	CG12998
FBtr0074400	OG0010507	CG10598-RA	CG10598
FBtr0074402	OG0010503	CG12995-RA	CG12995
FBtr0074403	OG0010499	CG8918-RA	TTLL1A
FBtr0074415	OG0010486	CG9086-RA	Ubr1
FBtr0074416	OG0010484	CG13000-RA	CG13000
FBtr0074417	OG0010483	CG13001-RA	CG13001
FBtr0074418	OG0010482	CG9089-RA	wus
FBtr0074425	OG0010514	CG5445-RB	CG5445
FBtr0074431	OG0010517	CG5613-RA	ENGase
FBtr0074437	OG0010518	CG12993-RA	p-cup
FBtr0074438	OG0010516	CG12994-RA	CG12994
FBtr0074440	OG0010515	CG8611-RB	CG8611
FBtr0074443	OG0010513	CG8649-RD	Fim
FBtr0074444	OG0010512	CG8661-RA	CG8661
FBtr0074445	OG0010511	CG8664-RA	CG8664
FBtr0074446	OG0010509	CG8675-RA	CG8675
FBtr0074447	OG0010508	CG8915-RA	CG8915
FBtr0074452	OG0010525	CG5703-RA	ND-24
FBtr0074453	OG0010527	CG5800-RA	CG5800
FBtr0074455	OG0010533	CG5884-RA	par-6
FBtr0074462	OG0010539	CG6398-RA	CG6398
FBtr0074463	OG0010540	CG6474-RA	Taf9
FBtr0074464	OG0010542	CG6492-RA	Ucp4A
FBtr0074465	OG0010544	CG6506-RA	Spt7
FBtr0074466	OG0010546	CG32557-RA	Mco4
FBtr0074467	OG0010545	CG32554-RA	CG32554
FBtr0074468	OG0010543	CG15814-RB	CG15814
FBtr0074472	OG0010541	CG8142-RA	CG8142
FBtr0074474	OG0010537	CG12986-RA	CG12986
FBtr0074475	OG0010534	CG8173-RA	CG8173
FBtr0074476	OG0010532	CG8188-RA	Ube2S
FBtr0074479	OG0010530	CG12990-RA	CG12990
FBtr0074484	OG0010526	CG8289-RA	CG8289
FBtr0074485	OG0010524	CG8316-RA	corolla
FBtr0074486	OG0010523	CG8326-RA	CG8326
FBtr0074487	OG0010522	CG8408-RA	stas
FBtr0074492	OG0010547	CG6762-RA	Srx
FBtr0074493	OG0010549	CG6769-RA	CG6769
FBtr0074494	OG0010551	CG12985-RA	CG12985
FBtr0074504	OG0010553	CG6842-RA	Vps4
FBtr0074505	OG0010554	CG6847-RA	CG6847
FBtr0074511	OG0010559	CG7113-RA	scu
FBtr0074514	OG0010562	CG7128-RA	Taf8
FBtr0074515	OG0010563	CG7135-RA	CG7135
FBtr0074524	OG0010564	CG7178-RG	wupA
FBtr0074527	OG0010561	CG7192-RA	Mvb12
FBtr0074540	OG0010552	CG7772-RA	CG7772
FBtr0074544	OG0010548	CG7846-RA	Arp8
FBtr0074549	OG0010566	CG15064-RA	Him
FBtr0074553	OG0010573	CG6106-RA	CG6106
FBtr0074558	OG0010575	CG6179-RA	CG6179
FBtr0074559	OG0010577	CG6186-RA	Tsf1
FBtr0074563	OG0010581	CG6290-RA	CG6290
FBtr0074568	OG0010580	CG32548-RB	CG32548
FBtr0074576	OG0010576	CG6223-RA	betaCOP
FBtr0074577	OG0010574	CG6205-RA	por
FBtr0074578	OG0010572	CG6123-RA	kairos
FBtr0074581	OG0010570	CG5993-RA	upd1
FBtr0074591	OG0010565	CG12611-RA	Andorra
FBtr0074592	OG0010592	CG6318-RA	Xrcc2
FBtr0074596	OG0010597	CG15047-RA	CG15047
FBtr0074601	OG0010601	CG6540-RA	Nup35
FBtr0074602	OG0010605	CG6551-RA	fu
FBtr0074603	OG0010607	CG6578-RA	phtm
FBtr0074604	OG0010610	CG6585-RA	Cyp308a1
FBtr0074605	OG0010612	CG12609-RB	CG12609
FBtr0074607	OG0010611	CG6873-RA	CG6873
FBtr0074609	OG0010608	CG6816-RA	Cyp18a1
FBtr0074611	OG0010606	CG6696-RA	CG6696
FBtr0074612	OG0010604	CG6659-RA	CG6659
FBtr0074614	OG0010603	CG6632-RA	Ing3
FBtr0074615	OG0010602	CG6617-RA	Hou
FBtr0074616	OG0010600	CG6606-RA	Rip11
FBtr0074618	OG0010599	CG15040-RA	CG15040
FBtr0074620	OG0010596	CG6481-RA	CG6481
FBtr0074621	OG0010594	CG6470-RA	CG6470
FBtr0074623	OG0010593	CG6407-RA	Wnt5
FBtr0074624	OG0010591	CG6394-RA	Pgant7
FBtr0074626	OG0010590	CG15043-RA	CG15043
FBtr0074627	OG0010589	CG15044-RA	CG15044
FBtr0074628	OG0010588	CG15046-RA	CG15046
FBtr0074629	OG0010587	CG6367-RA	psh
FBtr0074631	OG0010614	CG6891-RA	CG6891
FBtr0074634	OG0010615	CG7001-RA	S6KL
FBtr0074635	OG0010616	CG7053-RA	Atg101
FBtr0074640	OG0010620	CG7103-RA	Pvf1
FBtr0074643	OG0010624	CG7288-RA	Usp39
FBtr0074644	OG0010625	CG32544-RA	CG32544
FBtr0074647	OG0010628	CG7332-RA	CG7332
FBtr0074652	OG0010629	CG7358-RA	Flacc
FBtr0074653	OG0010626	CG7326-RA	CG7326
FBtr0074654	OG0010623	CG7322-RA	CG7322
FBtr0074655	OG0010622	CG7280-RA	shop
FBtr0074656	OG0010617	CG7088-RB	bnb
FBtr0074663	OG0010632	CG14190-RA	CG14190
FBtr0074664	OG0010633	CG7406-RA	CG7406
FBtr0074666	OG0010638	CG7453-RA	CG7453
FBtr0074671	OG0010640	CG14194-RA	CG14194
FBtr0074672	OG0010643	CG7874-RA	Mur18B
FBtr0074675	OG0010646	CG7889-RA	CG7889
FBtr0074676	OG0010648	CG7890-RA	Hs3st-B
FBtr0074682	OG0010656	CG8062-RA	out
FBtr0074684	OG0010655	CG8034-RA	mlm
FBtr0074686	OG0010653	CG32536-RA	CG32536
FBtr0074687	OG0010652	CG32537-RA	CG32537
FBtr0074688	OG0010651	CG8010-RA	CG8010
FBtr0074689	OG0010649	CG8002-RA	rictor
FBtr0074690	OG0010647	CG7992-RA	CG7992
FBtr0074691	OG0010645	CG14196-RA	CG14196
FBtr0074692	OG0010642	CG14195-RA	CG14195
FBtr0074695	OG0010641	CG7990-RA	CG7990
FBtr0074696	OG0010639	CG7914-RA	CG7914
FBtr0074697	OG0010637	CG7556-RA	CG7556
FBtr0074703	OG0010634	CG15882-RA	CG15882
FBtr0074707	OG0010657	CG12199-RB	kek5
FBtr0074710	OG0010659	CG12200-RA	narya
FBtr0074711	OG0010661	CG12202-RA	Naa15-16
FBtr0074712	OG0010663	CG12203-RA	ND-18
FBtr0074716	OG0010665	CG3400-RG	Pfrx
FBtr0074721	OG0010666	CG14200-RA	CG14200
FBtr0074734	OG0010674	CG14207-RB	CG14207
FBtr0074736	OG0010675	CG14208-RB	Tyler
FBtr0074737	OG0010676	CG14209-RB	Shawn
FBtr0074740	OG0010677	CG14210-RA	CG14210
FBtr0074741	OG0010681	CG14211-RB	MKP-4
FBtr0074742	OG0010682	CG14212-RA	CG14212
FBtr0074746	OG0010687	CG14215-RA	Elys
FBtr0074747	OG0010689	CG14216-RA	Ssu72
FBtr0074748	OG0010690	CG12529-RA	G6pd
FBtr0074750	OG0010693	CG14224-RA	Ubqn
FBtr0074751	OG0010696	CG12530-RA	Cdc42
FBtr0074753	OG0010695	CG14229-RA	CG14229
FBtr0074754	OG0010694	CG14228-RA	Mer
FBtr0074756	OG0010692	CG14226-RA	dome
FBtr0074758	OG0010688	CG14223-RA	CG14223
FBtr0074759	OG0010686	CG12234-RA	Ranbp21
FBtr0074760	OG0010685	CG12235-RA	Arp10
FBtr0074761	OG0010684	CG12237-RA	CG12237
FBtr0074767	OG0010679	CG17767-RC	Tim9b
FBtr0074768	OG0010673	CG14220-RA	CG14220
FBtr0074771	OG0010671	CG14217-RE	Tao
FBtr0074775	OG0010669	CG3917-RA	Grip84
FBtr0074779	OG0010668	CG12231-RA	CG12231
FBtr0074783	OG0010664	CG12204-RA	CG12204
FBtr0074785	OG0010660	CG32531-RA	mRpS14
FBtr0074786	OG0010658	CG32533-RA	CG32533
FBtr0074787	OG0010699	CG14230-RA	CG14230
FBtr0074788	OG0010701	CG12531-RA	CG12531
FBtr0074789	OG0010702	CG12532-RA	AP-1-2beta
FBtr0074793	OG0010708	CG32528-RA	parvin
FBtr0074795	OG0010710	CG12703-RA	Abcd3
FBtr0074798	OG0010712	CG11943-RB	Nup205
FBtr0074800	OG0010714	CG32529-RA	Hers
FBtr0074804	OG0010711	CG11940-RA	pico
FBtr0074810	OG0010705	CG18809-RA	CG18809
FBtr0074812	OG0010700	CG14233-RA	meso18E
FBtr0074813	OG0010698	CG14232-RA	Acbp8
FBtr0074814	OG0010697	CG14231-RA	Tcs4
FBtr0074815	OG0010704	CG14235-RA	COX6B
FBtr0074818	OG0006502	CG14185-RA	CG14185
FBtr0074819	OG0006506	CG6975-RA	gig
FBtr0074820	OG0006510	CG6981-RB	Ssk
FBtr0074825	OG0006514	CG17149-RA	Su(var)3-3
FBtr0074827	OG0006515	CG13813-RA	wall
FBtr0074828	OG0006518	CG6951-RB	CG6951
FBtr0074830	OG0006517	CG6948-RA	Clc
FBtr0074837	OG0006523	CG6597-RA	SCCRO4
FBtr0074839	OG0006525	CG12306-RA	polo
FBtr0074840	OG0006526	CG6625-RA	alphaSnap
FBtr0074845	OG0006524	CG32225-RA	CG32225
FBtr0074846	OG0006522	CG32226-RA	Pex23
FBtr0074847	OG0006521	CG6480-RA	FRG1
FBtr0074849	OG0006520	CG17122-RA	CG17122
FBtr0074850	OG0006516	CG17233-RC	CG17233
FBtr0074856	OG0006513	CG7017-RA	CG7017
FBtr0074860	OG0006511	CG7306-RA	obst-F
FBtr0074864	OG0006508	CG7328-RA	Khk
FBtr0074866	OG0006507	CG7348-RA	obst-J
FBtr0074867	OG0006505	CG7365-RA	CG7365
FBtr0074868	OG0006504	CG14187-RA	CG14187
FBtr0074869	OG0006503	CG7385-RA	Ir76b
FBtr0074870	OG0006501	CG14186-RA	CG14186
FBtr0074871	OG0006500	CG7395-RA	sNPF-R
FBtr0074873	OG0006477	CG8522-RA	SREBP
FBtr0074881	OG0006480	CG8548-RA	Kap-alpha1
FBtr0074882	OG0006482	CG8567-RA	Deaf1
FBtr0074884	OG0006485	CG8491-RA	kto
FBtr0074888	OG0006486	CG8363-RD	Papss
FBtr0074894	OG0006490	CG7770-RA	Pfdn6
FBtr0074899	OG0006495	CG17736-RA	schuy
FBtr0074902	OG0006497	CG7641-RA	Nca
FBtr0074903	OG0006499	CG7654-RA	Tom20
FBtr0074908	OG0006498	CG7433-RB	Gabat
FBtr0074910	OG0006496	CG7445-RA	fln
FBtr0074912	OG0006494	CG7570-RA	hale
FBtr0074913	OG0006492	CG14182-RA	CG14182
FBtr0074920	OG0006489	CG32217-RA	Su(Tpl)
FBtr0074921	OG0006487	CG8287-RA	Rab8
FBtr0074925	OG0006481	CG8733-RA	Cyp305a1
FBtr0074927	OG0006479	CG14103-RA	TORIP
FBtr0074928	OG0006478	CG14102-RA	CG14102
FBtr0074933	OG0006452	CG9290-RA	Cpr76Bb
FBtr0074936	OG0006457	CG14098-RA	Rcd7
FBtr0074938	OG0006458	CG9300-RA	CG9300
FBtr0074940	OG0006461	CG9330-RA	CG9330
FBtr0074941	OG0006464	CG32211-RA	Taf6
FBtr0074944	OG0006465	CG9368-RA	CG9368
FBtr0074945	OG0006467	CG9372-RA	CG9372
FBtr0074946	OG0006469	CG9376-RA	PIG-F
FBtr0074947	OG0006471	CG9383-RA	asf1
FBtr0074949	OG0006476	CG8770-RA	Gbeta76C
FBtr0074961	OG0006473	CG8782-RA	Oat
FBtr0074966	OG0006470	CG8793-RA	l(3)76BDm
FBtr0074969	OG0006466	CG8807-RA	lush
FBtr0074971	OG0006462	CG14100-RA	CG14100
FBtr0074972	OG0006460	CG9231-RA	CG9231
FBtr0074974	OG0006456	CG32210-RA	Ltn1
FBtr0074976	OG0006455	CG9279-RB	Dred
FBtr0074977	OG0006451	CG9283-RA	Cpr76Ba
FBtr0074978	OG0006450	CG9452-RA	CG9452
FBtr0074979	OG0006449	CG9451-RA	CG9451
FBtr0074982	OG0006447	CG9472-RA	brv1
FBtr0074988	OG0006435	CG9750-RA	rept
FBtr0074989	OG0006437	CG14084-RA	Bet1
FBtr0074991	OG0006439	CG9666-RA	Mettl5
FBtr0074992	OG0006441	CG14085-RA	CG14085
FBtr0075014	OG0006444	CG9619-RA	Gbs-76A
FBtr0075015	OG0006443	CG14089-RA	CG14089
FBtr0075017	OG0006440	CG9629-RA	Aldh7A1
FBtr0075018	OG0006438	CG9648-RA	Max
FBtr0075019	OG0006436	CG9655-RA	nes
FBtr0075022	OG0006434	CG9730-RA	mRpL21
FBtr0075023	OG0006421	CG6836-RA	CG6836
FBtr0075024	OG0006422	CG14075-RA	CG14075
FBtr0075025	OG0006425	CG6812-RA	Sfxn2
FBtr0075027	OG0006430	CG14079-RA	CG14079
FBtr0075032	OG0006431	CG10419-RA	Gem2
FBtr0075033	OG0006429	CG10424-RA	Naxd
FBtr0075034	OG0006428	CG11577-RA	CNPYb
FBtr0075045	OG0006424	CG18135-RD	CG18135
FBtr0075046	OG0006423	CG11619-RA	CG11619
FBtr0075048	OG0006419	CG3819-RA	CG3819
FBtr0075049	OG0006399	CG6896-RA	MYPT-75D
FBtr0075050	OG0006402	CG6895-RA	GNBP1
FBtr0075051	OG0006405	CG32202-RA	CG32202
FBtr0075053	OG0006409	CG6885-RA	CG6885
FBtr0075054	OG0006410	CG6884-RA	MED11
FBtr0075055	OG0006412	CG6877-RA	Atg3
FBtr0075056	OG0006415	CG6874-RA	HipHop
FBtr0075071	OG0006418	CG18223-RA	CG18223
FBtr0075084	OG0006414	CG14073-RB	CG14073
FBtr0075086	OG0006413	CG4059-RB	ftz-f1
FBtr0075088	OG0006411	CG4076-RA	Nufip
FBtr0075090	OG0006408	CG18363-RA	Dic4
FBtr0075091	OG0006406	CG4120-RA	Cyp12c1
FBtr0075094	OG0006401	CG4144-RB	GNBP2
FBtr0075098	OG0006400	CG18811-RA	Capr
FBtr0075108	OG0006398	CG6897-RA	bora
FBtr0075117	OG0006392	CG4306-RA	CG4306
FBtr0075119	OG0006390	CG13701-RA	skl
FBtr0075121	OG0006378	CG7354-RA	mRpS26
FBtr0075122	OG0006380	CG7347-RA	mus304
FBtr0075123	OG0006381	CG7341-RA	CG7341
FBtr0075127	OG0006383	CG7330-RA	CG7330
FBtr0075129	OG0006387	CG7313-RA	CheA75a
FBtr0075130	OG0006389	CG4345-RA	grim
FBtr0075133	OG0006385	CG5123-RA	hid
FBtr0075134	OG0006384	CG13699-RA	CG13699
FBtr0075135	OG0006382	CG5137-RA	Cyp312a1
FBtr0075136	OG0006379	CG5147-RA	Polr3D
FBtr0075137	OG0006377	CG13698-RB	CG13698
FBtr0075139	OG0006366	CG7446-RA	Grd
FBtr0075140	OG0006370	CG7430-RA	Dld
FBtr0075141	OG0006371	CG7441-RA	TrpRS-m
FBtr0075144	OG0006374	CG14353-RA	Wdr92
FBtr0075152	OG0006375	CG5290-RA	CG5290
FBtr0075153	OG0006373	CG5485-RA	Prestin
FBtr0075154	OG0006372	CG5492-RA	Tsp74F
FBtr0075160	OG0006369	CG5546-RA	MED19
FBtr0075161	OG0006368	CG5567-RA	CG5567
FBtr0075162	OG0006367	CG5577-RA	CG5577
FBtr0075167	OG0006364	CG5582-RA	Cln3
FBtr0075173	OG0006344	CG7571-RA	Oatp74D
FBtr0075174	OG0006343	CG32185-RA	edin
FBtr0075175	OG0006346	CG7564-RA	CG7564
FBtr0075184	OG0006357	CG7484-RB	CG7484
FBtr0075186	OG0006360	CG32183-RB	Ccn
FBtr0075190	OG0006361	CG5992-RA	Adgf-A
FBtr0075192	OG0006362	CG32178-RA	Adgf-A2
FBtr0075197	OG0006356	CG32179-RA	Krn
FBtr0075199	OG0006354	CG6143-RB	Pep
FBtr0075201	OG0006351	CG6259-RA	Vps60
FBtr0075205	OG0006350	CG6292-RB	CycT
FBtr0075208	OG0006347	CG6311-RB	Edc3
FBtr0075209	OG0006345	CG6322-RA	U4-U6-60K
FBtr0075210	OG0006355	CG32177-RA	Ndfip
FBtr0075212	OG0006323	CG7707-RA	CG7707
FBtr0075216	OG0006330	CG7659-RA	tap
FBtr0075217	OG0006335	CG7630-RA	COX7B
FBtr0075218	OG0006339	CG32176-RA	CG32176
FBtr0075219	OG0006340	CG18265-RA	CG18265
FBtr0075220	OG0006341	CG7603-RA	QIL1
FBtr0075224	OG0006342	CG6333-RA	CG6333
FBtr0075227	OG0006337	CG32174-RB	Coq4
FBtr0075228	OG0006338	CG3874-RA	frc
FBtr0075229	OG0006336	CG33052-RA	Gorab
FBtr0075231	OG0006334	CG3885-RA	Sec3
FBtr0075238	OG0006332	CG13728-RA	CG13728
FBtr0075239	OG0006331	CG6445-RB	Cad74A
FBtr0075241	OG0006329	CG6456-RA	Mip
FBtr0075242	OG0006328	CG16793-RA	brv2
FBtr0075245	OG0006327	CG6479-RA	CG6479
FBtr0075248	OG0006326	CG13725-RA	CG13725
FBtr0075249	OG0006325	CG6485-RA	ND-24L
FBtr0075250	OG0006324	CG6497-RA	CG6497
FBtr0075251	OG0006322	CG6512-RA	Afg3l2
FBtr0075258	OG0006303	CG32170-RA	CG32170
FBtr0075261	OG0006305	CG13028-RA	CG13028
FBtr0075274	OG0006312	CG7728-RA	CG7728
FBtr0075278	OG0006316	CG7842-RA	beg
FBtr0075279	OG0006318	CG7853-RA	Papst2
FBtr0075282	OG0006320	CG7725-RB	rogdi
FBtr0075284	OG0006321	CG7724-RA	CG7724
FBtr0075286	OG0006319	CG14057-RA	Pop5
FBtr0075290	OG0006313	CG6642-RA	4Csp4
FBtr0075293	OG0006311	CG6664-RA	Ccdc6
FBtr0075307	OG0006306	CG13023-RA	CG13023
FBtr0075308	OG0006267	CG4157-RA	Rpn12
FBtr0075309	OG0006268	CG4169-RA	UQCR-C2
FBtr0075310	OG0006270	CG32163-RA	CG32163
FBtr0075311	OG0006271	CG4195-RA	sist
FBtr0075314	OG0006276	CG4101-RA	CG4101
FBtr0075316	OG0006280	CG13032-RA	Ccdc13
FBtr0075317	OG0006282	CG9692-RB	CG9692
FBtr0075319	OG0006284	CG13031-RA	CG13031
FBtr0075321	OG0006288	CG9701-RA	CG9701
FBtr0075322	OG0006289	CG9704-RB	Nrt
FBtr0075328	OG0006294	CG9710-RA	nudC
FBtr0075329	OG0006296	CG9712-RA	TSG101
FBtr0075330	OG0006297	CG9715-RA	Zcchc7
FBtr0075332	OG0006299	CG9949-RA	sina
FBtr0075336	OG0006301	CG13029-RC	CG13029
FBtr0075337	OG0006302	CG9951-RA	CG9951
FBtr0075338	OG0006298	CG9668-RA	Rh4
FBtr0075345	OG0006292	CG9677-RA	eIF3e
FBtr0075346	OG0006290	CG13025-RA	mus302
FBtr0075347	OG0006287	CG9680-RA	Dbp73D
FBtr0075348	OG0006286	CG9681-RA	PGRP-SB1
FBtr0075352	OG0006279	CG3948-RA	zetaCOP
FBtr0075355	OG0006278	CG3971-RA	Baldspot
FBtr0075358	OG0006277	CG4083-RA	Mo25
FBtr0075359	OG0006275	CG4086-RA	mPges2
FBtr0075360	OG0006274	CG4097-RA	Prosbeta6
FBtr0075361	OG0006273	CG4098-RA	CG4098
FBtr0075363	OG0006272	CG17286-RA	spd-2
FBtr0075365	OG0006269	CG4109-RA	Syx8
FBtr0075369	OG0006230	CG13061-RA	Nplp3
FBtr0075371	OG0006231	CG13059-RA	CG13059
FBtr0075372	OG0006235	CG13058-RA	CG13058
FBtr0075376	OG0006237	CG13056-RA	CG13056
FBtr0075378	OG0006239	CG33257-RA	CG33257
FBtr0075379	OG0006240	CG42648-RA	mRpS34
FBtr0075381	OG0006242	CG4933-RA	Tcs3
FBtr0075382	OG0006245	CG4818-RA	Cpr72Ea
FBtr0075383	OG0006246	CG12255-RA	Cpr72Eb
FBtr0075388	OG0006250	CG4680-RA	Gagr
FBtr0075390	OG0006255	CG33158-RB	CG33158
FBtr0075391	OG0006259	CG4314-RA	st
FBtr0075392	OG0006262	CG4229-RA	CG4229
FBtr0075395	OG0006266	CG16725-RA	Smn
FBtr0075398	OG0006263	CG4123-RB	Mipp1
FBtr0075400	OG0006261	CG13033-RA	CG13033
FBtr0075408	OG0006257	CG4531-RA	aos
FBtr0075409	OG0006256	CG32159-RB	dsx-c73A
FBtr0075410	OG0006254	CG4561-RA	TyrRS
FBtr0075411	OG0006253	CG4573-RA	GluRS-m
FBtr0075412	OG0006251	CG4609-RA	fax
FBtr0075423	OG0006248	CG16807-RA	roq
FBtr0075424	OG0006247	CG4784-RA	Cpr72Ec
FBtr0075426	OG0006243	CG4899-RA	Pdh
FBtr0075428	OG0006241	CG4925-RA	Golgin104
FBtr0075429	OG0006234	CG13038-RA	CG13038
FBtr0075430	OG0006233	CG13039-RA	CG13039
FBtr0075431	OG0006232	CG13040-RA	CG13040
FBtr0075433	OG0006228	CG13042-RA	CG13042
FBtr0075435	OG0006181	CG13076-RA	Notum
FBtr0075437	OG0006183	CG5895-RA	CG5895
FBtr0075452	OG0006193	CG12272-RA	Strump
FBtr0075453	OG0006195	CG5474-RA	SsRbeta
FBtr0075457	OG0006201	CG5027-RA	Tmx3
FBtr0075459	OG0006205	CG32155-RA	l(3)72Dp
FBtr0075460	OG0006206	CG32154-RA	l(3)72Dr
FBtr0075463	OG0006214	CG13069-RA	CG13069
FBtr0075465	OG0006216	CG13067-RA	CG13067
FBtr0075468	OG0006218	CG13065-RA	CG13065
FBtr0075469	OG0006226	CG4982-RA	CG4982
FBtr0075471	OG0006225	CG4962-RA	CG4962
FBtr0075477	OG0006221	CG13049-RA	CG13049
FBtr0075478	OG0006219	CG13050-RA	CG13050
FBtr0075480	OG0006209	CG13053-RA	CG13053
FBtr0075481	OG0006208	CG13054-RA	CG13054
FBtr0075482	OG0006207	CG13055-RA	CG13055
FBtr0075483	OG0006202	CG13072-RA	PDCD-5
FBtr0075490	OG0006198	CG5157-RA	firewood
FBtr0075491	OG0006196	CG5161-RA	Trs20
FBtr0075492	OG0006194	CG5165-RA	Pgm1
FBtr0075494	OG0006191	CG5215-RB	Zn72D
FBtr0075495	OG0006190	CG5222-RA	IntS9
FBtr0075496	OG0006188	CG13074-RA	CG13074
FBtr0075498	OG0006186	CG5241-RA	Tasp1
FBtr0075499	OG0006184	CG12284-RB	Diap1
FBtr0075503	OG0006162	CG13445-RA	CG13445
FBtr0075504	OG0006164	CG6215-RA	CkIIalpha-i1
FBtr0075506	OG0006166	CG12713-RA	CG12713
FBtr0075509	OG0006170	CG17035-RA	GXIVsPLA2
FBtr0075510	OG0006171	CG17033-RA	elgi
FBtr0075511	OG0006172	CG17032-RA	CG17032
FBtr0075512	OG0006173	CG10516-RA	CG10516
FBtr0075517	OG0006175	CG6025-RA	Arl1
FBtr0075519	OG0006179	CG5904-RA	mRpS31
FBtr0075520	OG0006180	CG5841-RA	mib1
FBtr0075522	OG0006176	CG5949-RA	PolD1
FBtr0075528	OG0006169	CG6117-RB	Pka-C3
FBtr0075542	OG0006163	CG6151-RA	fwe
FBtr0075544	OG0006123	CG13455-RA	CG13455
FBtr0075546	OG0006124	CG7276-RB	CG7276
FBtr0075547	OG0006125	CG7275-RA	CG7275
FBtr0075548	OG0006126	CG7272-RA	CG7272
FBtr0075549	OG0006129	CG17962-RA	Z600
FBtr0075556	OG0006134	CG7463-RA	yellow-k
FBtr0075560	OG0006141	CG7439-RC	AGO2
FBtr0075562	OG0006144	CG6498-RA	dop
FBtr0075563	OG0006145	CG16979-RA	Ufsp2
FBtr0075564	OG0006147	CG12301-RA	CG12301
FBtr0075565	OG0006148	CG12304-RA	AIMP2
FBtr0075570	OG0006154	CG7372-RA	Phs
FBtr0075577	OG0006155	CG7304-RB	CG7304
FBtr0075578	OG0006157	CG7297-RA	Pgant8
FBtr0075579	OG0006161	CG17943-RA	comm
FBtr0075580	OG0006158	CG7554-RA	comm2
FBtr0075581	OG0006156	CG7579-RA	CG7579
FBtr0075590	OG0006152	CG13449-RA	CG13449
FBtr0075591	OG0006151	CG7650-RA	PhLP1
FBtr0075595	OG0006146	CG7764-RA	mrn
FBtr0075596	OG0006142	CG7739-RA	CG7739
FBtr0075600	OG0006135	CG7945-RA	CG7945
FBtr0075602	OG0006133	CG7936-RA	mex1
FBtr0075603	OG0006132	CG13454-RA	CG13454
FBtr0075604	OG0006128	CG7841-RA	CG7841
FBtr0075605	OG0006127	CG7857-RA	Otud6
FBtr0075607	OG0006117	CG6890-RA	Tollo
FBtr0075614	OG0006121	CG7250-RA	Toll-6
FBtr0075618	OG0006119	CG12327-RA	Best3
FBtr0075620	OG0006085	CG5185-RA	Tom
FBtr0075621	OG0006086	CG3096-RA	Brd
FBtr0075629	OG0006091	CG3329-RA	Prosbeta2
FBtr0075631	OG0006100	CG13463-RA	EAChm
FBtr0075633	OG0006104	CG6778-RB	GlyRS
FBtr0075639	OG0006107	CG32847-RB	CG32847
FBtr0075640	OG0006110	CG6859-RA	Pex3
FBtr0075641	OG0006111	CG6869-RA	FutA
FBtr0075642	OG0006113	CG6876-RA	Prp31
FBtr0075643	OG0006115	CG6878-RA	CG6878
FBtr0075644	OG0006116	CG6888-RA	Prx1
FBtr0075645	OG0006114	CG7011-RA	CG7011
FBtr0075646	OG0006112	CG7003-RA	Msh6
FBtr0075647	OG0006109	CG32147-RA	CG32147
FBtr0075648	OG0006108	CG6988-RA	Pdi
FBtr0075655	OG0006106	CG16959-RA	CG16959
FBtr0075657	OG0006103	CG6945-RA	sstn
FBtr0075663	OG0006099	CG18649-RA	CG18649
FBtr0075664	OG0006098	CG13461-RA	CG13461
FBtr0075665	OG0006097	CG12310-RA	CG12310
FBtr0075666	OG0006096	CG18581-RA	CG18581
FBtr0075669	OG0006094	CG11552-RA	Rpn12R
FBtr0075671	OG0006092	CG5392-RA	Reck
FBtr0075672	OG0006090	CG17166-RA	mRpL39
FBtr0075676	OG0006062	CG13478-RB	shd
